JDate,Julian_Date,Date,Month,Day,Year,Period,Region,Site_HF,Hours_Presence,DayHr,Proportion_Presence,CorrPres
218,218,8/6/10,8,6,2010,P1,Central,7,23,24,0.958333333,0.958333333
218,218,8/6/10,8,6,2010,P1,Central,8,10,24,0.416666667,0.350877193
218,218,8/6/10,8,6,2010,P1,Central,9,24,24,1,1
218,218,8/6/10,8,6,2010,P1,Central,10,24,24,1,1
218,218,8/6/10,8,6,2010,P1,Central,11,22,24,0.916666667,0.840277778
218,218,8/6/10,8,6,2010,P1,Central,17,18,24,0.75,0.75
218,218,8/6/10,8,6,2010,P1,Central,18,23,24,0.958333333,0.731359649
218,218,8/6/10,8,6,2010,P1,Tortugas,19,12,24,0.5,0.416666667
218,218,8/6/10,8,6,2010,P1,Tortugas,20,4,24,0.166666667,0.166666667
218,218,8/6/10,8,6,2010,P1,Tortugas,21,24,24,1,1
219,219,8/7/10,8,7,2010,P1,West,1,20,24,0.833333333,0.791666667
219,219,8/7/10,8,7,2010,P1,West,2,13,24,0.541666667,0.440104167
219,219,8/7/10,8,7,2010,P1,West,4,11,24,0.458333333,0.389583333
219,219,8/7/10,8,7,2010,P1,Central,6,24,24,1,1
219,219,8/7/10,8,7,2010,P1,Central,7,23,24,0.958333333,0.958333333
219,219,8/7/10,8,7,2010,P1,Central,8,17,24,0.708333333,0.596491228
219,219,8/7/10,8,7,2010,P1,Central,9,24,24,1,1
219,219,8/7/10,8,7,2010,P1,Central,10,24,24,1,1
219,219,8/7/10,8,7,2010,P1,Central,11,22,24,0.916666667,0.840277778
219,219,8/7/10,8,7,2010,P1,Central,17,22,24,0.916666667,0.916666667
219,219,8/7/10,8,7,2010,P1,Central,18,24,24,1,0.763157895
219,219,8/7/10,8,7,2010,P1,Tortugas,19,13,24,0.541666667,0.451388889
219,219,8/7/10,8,7,2010,P1,Tortugas,20,13,24,0.541666667,0.541666667
219,219,8/7/10,8,7,2010,P1,Tortugas,21,23,24,0.958333333,0.958333333
220,220,8/8/10,8,8,2010,P1,West,1,21,24,0.875,0.83125
220,220,8/8/10,8,8,2010,P1,West,2,17,24,0.708333333,0.575520833
220,220,8/8/10,8,8,2010,P1,West,4,13,24,0.541666667,0.460416667
220,220,8/8/10,8,8,2010,P1,Central,6,23,24,0.958333333,0.958333333
220,220,8/8/10,8,8,2010,P1,Central,7,14,24,0.583333333,0.583333333
220,220,8/8/10,8,8,2010,P1,Central,8,12,24,0.5,0.421052632
220,220,8/8/10,8,8,2010,P1,Central,9,24,24,1,1
220,220,8/8/10,8,8,2010,P1,Central,10,24,24,1,1
220,220,8/8/10,8,8,2010,P1,Central,11,24,24,1,0.916666667
